truck,online_ordering,tick_cards,cross_cards
3Bros Burgers,listed_only,0,1
A Good Egg,listed_only,0,2
Al Chile,listed_only,0,7
All Fired Up Pizza,listed_only,0,2
Amen Catering,listed_only,0,2
Askers Pizza,listed_only,0,1
Azahar,uses,2,0
BabTooma Express,listed_only,0,7
Barista Boy Coffee Co,uses,5,108
Beardus Burger,listed_only,0,8
Between Buns Royston,uses,3,0
Bien Manger Cornwall,listed_only,0,2
Bonnefirebox,uses,1,0
Broadside Pizza,listed_only,0,3
Buffalo Joe's,uses,1,0
Build A Burga,listed_only,0,5
Cairo Van,listed_only,0,1
Carne Street Food,listed_only,0,3
Charlie's Chippy,listed_only,0,4
Clumsies,listed_only,0,5
Crumbelievable,listed_only,0,1
Cult of Curry,unknown,0,0
Dirty Fryer Boys,listed_only,0,3
Doodle Donuts,listed_only,0,1
East Coast Pizza Company,listed_only,0,2
Eat Is Greek,listed_only,0,2
El Dorado Taqueria,listed_only,0,2
Fully Loaded Fries,listed_only,0,2
Goldee's Bagels,listed_only,0,5
Green Choy,listed_only,0,19
Gurkha Street Food,unknown,0,0
Hot Bird,listed_only,0,7
India Express,listed_only,0,1
Kaya Thai Street Food,listed_only,0,3
Kerbside Kitchen,uses,7,61
Kerief Catering Ltd,uses,1,0
Kushi London,listed_only,0,7
La Biga Pizzeria,listed_only,0,2
Ling Ling's Steam Kitchen,listed_only,0,4
Mama Cook Truck,listed_only,0,3
Maya Street Food,listed_only,0,1
Meat Point,listed_only,0,7
Miam Miam Bakes,listed_only,0,2
Monster Munchies,listed_only,0,3
Morty's Focacceria,listed_only,0,6
My Thai Chef,listed_only,0,2
Nomadough,uses,2,0
Optio Pizza,uses,1,0
Ovencraft Pizza,listed_only,0,1
Pecoro On The Road,unknown,0,0
Perky Beans,uses,2,42
Phil's Pizza,listed_only,0,2
Pigcassos,uses,1,0
Pimp My Fish,uses,3,0
Pizza Lola,unknown,0,0
Pizza Mondo,uses,4,0
Pizzeria Gusto,listed_only,0,1
Prad Thai,listed_only,0,6
Redhead's Mac 'N' Cheese,listed_only,0,1
Rice Kitchen,listed_only,0,5
Saf's Kitchen,listed_only,0,1
Saffron Fish Co,uses,1,0
Savannah Smoke & Grill,listed_only,0,2
Skipper's Scran Van,listed_only,0,7
Smoked Tamago,listed_only,0,3
Smother Spudders,listed_only,0,2
Snackwallah,listed_only,0,6
Sole Luna,listed_only,0,3
Spice & Rice,uses,17,63
Spudalicious,listed_only,0,5
Steak & Honour,uses,1,0
Taste of Cambridge,listed_only,0,5
TEXBBQZ,listed_only,0,11
The Angry Seagull Fish + Chips,uses,6,0
The Big Blu,listed_only,0,1
The Bucket List,listed_only,0,2
The Funky Pickle Co,listed_only,0,3
The House of Dough,listed_only,0,3
The Koalaty Bakery Co.,listed_only,0,1
The Pizza Pod,listed_only,0,3
The Pizza Rocket,listed_only,0,1
The Purple Pepper,uses,3,0
The Rub BBQ,listed_only,0,1
The Shack Street Food,listed_only,0,5
The Tuskers,listed_only,0,2
The Yeerologist,listed_only,0,6
TIKKA TONIC,uses,1,0
Toni's Souvlaki & Gyros,listed_only,0,6
Warwick Bridge Corn Mill,listed_only,0,1
Well Nice Food,unknown,0,0
Yum & Bass,listed_only,0,4
Zaket Potato,listed_only,0,8
